Book,Chapter,Word_count
1,1,4670
1,2,3475
1,3,3886
1,4,3792
1,5,6680
1,6,6362
1,7,4495
1,8,3071
1,9,4988
1,10,4317
1,11,3390
1,12,5564
1,13,3230
1,14,3529
1,15,5163
1,16,6559
1,17,5605
2,1,2612
2,2,2955
2,3,4561
2,4,5857
2,5,5394
2,6,4635
2,7,4597
2,8,4479
2,9,5227
2,10,5382
2,11,6051
2,12,5477
2,13,5543
2,14,3993
2,15,4659
2,16,5771
2,17,5507
2,18,3768
3,1,3752
3,2,3884
3,3,4421
3,4,5156
3,5,6659
3,6,6790
3,7,4302
3,8,5099
3,9,5360
3,10,7224
3,11,5663
3,12,4919
3,13,4318
3,14,5632
3,15,5588
3,16,4449
3,17,4296
3,18,2359
3,19,5352
3,20,2018
3,21,7506
3,22,4836
4,1,4248
4,2,2892
4,3,3226
4,4,3037
4,5,3828
4,6,2403
4,7,5356
4,8,5920
4,9,7355
4,10,3238
4,11,3315
4,12,5510
4,13,3970
4,14,4958
4,15,5331
4,16,6166
4,17,4180
4,18,6812
4,19,6529
4,20,7314
4,21,5656
4,22,4552
4,23,8331
4,24,6374
4,25,5725
4,26,8177
4,27,7139
4,28,7510
4,29,4434
4,30,6490
4,31,8050
4,32,2057
4,33,4195
4,34,3061
4,35,6072
4,36,6301
4,37,4997
5,1,5882
5,2,6192
5,3,5259
5,4,5754
5,5,5423
5,6,6875
5,7,4633
5,8,4290
5,9,8231
5,10,5924
5,11,6026
5,12,8430
5,13,9001
5,14,8231
5,15,6968
5,16,6042
5,17,6701
5,18,7008
5,19,6846
5,20,6166
5,21,7500
5,22,8144
5,23,7535
5,24,8188
5,25,8249
5,26,8682
5,27,7587
5,28,8122
5,29,7539
5,30,8411
5,31,8084
5,32,6380
5,33,3892
5,34,5258
5,35,7865
5,36,3941
5,37,8248
5,38,7753
6,1,5216
6,2,5008
6,3,4804
6,4,6081
6,5,6069
6,6,5965
6,7,6655
6,8,4344
6,9,5956
6,10,6040
6,11,5153
6,12,5454
6,13,5520
6,14,6576
6,15,5924
6,16,6256
6,17,6466
6,18,6650
6,19,6342
6,20,6721
6,21,5864
6,22,5949
6,23,5910
6,24,6039
6,25,5196
6,26,6432
6,27,4665
6,28,3692
6,29,5700
6,30,5544
7,1,3159
7,2,4115
7,3,3360
7,4,5424
7,5,5957
7,6,6678
7,7,6658
7,8,6277
7,9,4187
7,10,6777
7,11,5609
7,12,6167
7,13,5919
7,14,4294
7,15,7076
7,16,5253
7,17,5544
7,18,3521
7,19,6819
7,20,4508
7,21,4878
7,22,5917
7,23,7927
7,24,6809
7,25,4399
7,26,6895
7,27,2708
7,28,4566
7,29,4576
7,30,4980
7,31,8097
7,32,5623
7,33,8360
7,34,3918
7,35,5053
7,36,7228
7,37,1644
